,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
71,ITAUCORP.SN,Itau Corpbanca,2.2100,-0.1000,-4.33%,337.248M,86.809M,1.132T,8.98
72,8729.T,Sony Financial Holdings Inc.,"2,596.00",-2.00,-0.08%,1.875M,1.519M,1.129T,15.18
73,8309.T,"Sumitomo Mitsui Trust Holdings, Inc.","2,976.00",-39.00,-1.29%,"727,300",1.262M,1.115T,6.86
74,TFC.MX,Truist Financial Corporation,816.51,0.00,0.00%,0,0,1.062T,240.36
75,BICECORP.SN,BICECORP SA,"13,000.00",0.00,0.00%,944,42,1.106T,13.35
76,AV.L,Aviva plc,281.75,-3.15,-1.10%,4.73M,16.651M,11.066B,4.47
77,088350.KS,"Hanwha Life Insurance Co., Ltd.","1,400.00",-10.00,-0.71%,2.511M,10.555M,1.052T,N/A
78,BAJAJFINSV.NS,Bajaj Finserv Limited,"6,405.40",-184.20,-2.80%,1.4M,1.231M,1.02T,30.26
79,BAJAJFINSV.BO,Bajaj Finserv Limited,"6,402.45",-194.25,-2.94%,"84,205","40,584",1.019T,30.24
80,601628.SS,China Life Insurance Company Limited,41.02,+3.73,+10.00%,55.582M,15.435M,997.438B,23.72
81,2628.HK,China Life Insurance Company Limited,20.650,+1.350,+6.99%,172.708M,53.3M,1.07T,9.01
82,SAN.MX,"Banco Santander, S.A.",60.61,+0.45,+0.75%,202,"29,816",958.305B,N/A
83,SDRC.L,Schroders plc,"2,130.00",-80.00,-3.62%,"5,023","22,656",9.994B,12.12
84,SDR.L,Schroders plc,"2,981.00",-35.00,-1.16%,"74,420","363,767",9.574B,16.96
85,1299.HK,AIA Group Limited,76.800,+0.200,+0.26%,35.654M,30.39M,928.527B,17.93
86,175330.KS,"JB Financial Group Co., Ltd.","4,755.00",-30.00,-0.63%,"112,434","349,262",924.106B,N/A
87,AFPCAPITAL.SN,Administradora de Fondos de Pensiones Capital S.A.,288.00,+13.00,+4.73%,"2,650",38,899.646B,16.74
88,GSMF.JK,PT Equity Development Investment Tbk,117.00,0.00,0.00%,100,901,872.202B,59.00
89,139130.KS,"DGB Financial Group Co., Ltd.","5,150.00",-30.00,-0.58%,"597,564",1.027M,871.102B,N/A
90,SBILIFE.BO,SBI Life Insurance Company Limited,851.15,-17.25,-1.99%,"38,017","42,489",851.184B,59.86
91,SBILIFE.NS,SBI Life Insurance Company Limited,850.75,-17.90,-2.06%,1.687M,1.603M,850.539B,59.83
92,HDFA.JK,PT Radana Bhaskara Finance Tbk,139.00,0.00,0.00%,200,725,847.479B,N/A
93,8308.T,"Resona Holdings, Inc.",368.60,-4.20,-1.13%,8.854M,11.006M,846.858B,5.56
94,PROVIDA.SN,Administradora de Fondos de Pensiones ProVida S.A.,"2,551.00",+1.10,+0.04%,"2,058",292,836.769B,10.53
95,TRIM.JK,PT Trimegah Sekuritas Indonesia Tbk,117.00,+2.00,+1.74%,"1,200","19,961",831.788B,17.04
96,2127.T,Nihon M&A Center Inc.,"5,010.00",-50.00,-0.99%,"572,500",1.257M,817.036B,80.06
97,BX.MX,The Blackstone Group Inc.,"1,227.00",0.00,0.00%,0,"1,499",815.161B,"6,424.08"
98,034310.KS,"NICE Holdings Co., Ltd.","21,350.00",-150.00,-0.70%,"27,544","55,564",808.215B,N/A
99,7181.T,"Japan Post Insurance Co., Ltd.","1,425.00",-30.00,-2.06%,1.035M,1.242M,801.451B,5.33
0,III.L,3i Group plc,822.00,-19.40,-2.31%,"784,125",2.297M,7.999B,37.19
1,003690.KS,Korean Reinsurance Company,"7,570.00",+10.00,+0.13%,"155,433","279,190",797.643B,N/A
2,INPC.JK,PT Bank Artha Graha Internasional Tbk,51.00,0.00,0.00%,"154,300","238,970",797.548B,N/A
3,CFIN.JK,PT. Clipan Finance Indonesia Tbk,193.00,+2.00,+1.05%,"97,700","587,377",769.012B,2.05
4,HL.L,Hargreaves Lansdown plc,"1,605.00",+16.50,+1.04%,"436,883",1.629M,7.613B,29.08
5,MET.MX,"MetLife, Inc.",820.00,0.00,0.00%,0,148,729.946B,87.54
6,001515.KS,"SK Securities Co., Ltd.","7,800.00",+580.00,+8.03%,10.89M,1.52M,749.536B,N/A
7,VICO.JK,PT Victoria Investama Tbk,79.00,-5.00,-5.95%,"228,700","228,208",722.857B,30.36
8,8601.T,Daiwa Securities Group Inc.,473.00,-2.70,-0.57%,3.653M,5.176M,718.705B,12.15
9,0005.HK,HSBC Holdings plc,37.000,-1.650,-4.27%,57.616M,38.384M,771.598B,15.84
10,PANS.JK,PT  Panin Sekuritas Tbk,995.00,-70.00,-6.57%,"344,200",1.047M,711.008B,N/A
11,AGRS.JK,PT Bank IBK Indonesia Tbk,100.00,-2.00,-1.96%,"51,900","50,709",708.819B,N/A
12,WOMF.JK,PT Wahana Ottomitra Multiartha Tbk,202.00,0.00,0.00%,"35,300","126,966",703.259B,2.70
13,CTGP34.SA,Citigroup Inc.,270.75,0.00,0.00%,0,921,561.213B,37.27
14,003547.KS,"Daishin Securities Co., Ltd.","8,430.00",+80.00,+0.96%,"23,291","34,770",639.746B,N/A
15,033660.KS,"AJU Capital Co., Ltd.","12,200.00",+550.00,+4.72%,"34,490","31,932",682.882B,N/A
16,BNBA.JK,P.T. Bank Bumi Arta Tbk,298.00,+10.00,+3.47%,"475,700","107,711",681.496B,14.71
17,003545.KS,"Daishin Securities Co., Ltd.","8,720.00",+40.00,+0.46%,"36,182","93,587",636.595B,N/A
18,ADM.L,Admiral Group plc,"2,249.00",-16.00,-0.71%,"160,917","667,526",6.613B,15.20
19,BBHI.JK,PT Bank Harda Internasional Tbk,159.00,-11.00,-6.47%,"66,500","376,735",658.672B,N/A
20,SBICARD.NS,SBI Cards and Payment Services Limited,695.45,-8.40,-1.19%,2.207M,3.345M,652.673B,52.65
21,WFCO34.SA,Wells Fargo & Company,129.90,-1.80,-1.37%,"1,160","1,928",529.919B,44.95
22,TRV.MX,"The Travelers Companies, Inc.","2,537.50",0.00,0.00%,0,63,634.997B,274.24
23,VRNA.JK,PT. Verena Multi Finance Tbk,114.00,-8.00,-6.56%,"7,700","5,727",648.358B,20.04
24,8572.T,"Acom Co., Ltd.",401.00,-8.00,-1.96%,1.431M,2.007M,628.211B,10.54
25,BBLD.JK,PT Buana Finance Tbk.,378.00,0.00,0.00%,"4,100","43,504",622.112B,10.67
26,BGTG.JK,PT Bank Ganesha Tbk,55.00,-2.00,-3.51%,3.815M,1.026M,614.631B,87.30
27,ICICIPRULI.BO,ICICI Prudential Life Insurance Company Limited,427.60,-6.05,-1.40%,"43,220","141,024",613.978B,57.63
28,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,427.50,-6.15,-1.42%,1.113M,3.364M,613.834B,57.61
