,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
78,1662.T,"Japan Petroleum Exploration Co., Ltd.","1,815.00",-15.00,-0.82%,"150,500","303,145",103.732B,3.87
79,MRO.MX,Marathon Oil Corporation,135.00,0.00,0.00%,1,"14,455",98.291B,420.56
80,NBL.MX,"Noble Energy, Inc.",208.30,0.00,0.00%,0,"83,861",95.756B,N/A
81,TOT,TOTAL S.A.,38.60,+0.06,+0.16%,"785,282",2.918M,101.626B,12.71
82,PC6A.F,PetroChina Company Limited,32.00,0.00,0.00%,4,37,102.462B,7.27
83,PC6.F,PetroChina Company Limited,0.3210,+0.0010,+0.31%,"2,500","19,398",102.783B,7.30
84,TGSU2.BA,Transportadora de Gas del Sur S.A.,129.85,+4.35,+3.47%,"3,164","121,412",99.429B,7.93
85,024060.KQ,Hung -Gu Oil Ltd,"6,760.00",+20.00,+0.30%,"85,241","22,795",98.296B,N/A
86,VVO.L,Vivo Energy plc,76.20,-2.30,-2.93%,"207,684","548,279",965.408M,7.06
87,8133.T,"Itochu Enex Co.,Ltd.",849.00,-17.00,-1.96%,"84,600","121,182",95.836B,7.95
88,DVN.MX,Devon Energy Corporation,236.11,0.00,0.00%,2,"3,043",88.442B,N/A
89,TOP.BK,Thai Oil Public Company Limited,44.50,-2.50,-5.32%,24.334M,20.765M,90.781B,N/A
90,ENOG.L,Energean plc,510.00,-40.00,-7.27%,"106,792","214,348",903.154M,N/A
91,FP.VI,TOTAL S.A.,34.65,-0.09,-0.24%,288,"1,584",89.488B,11.41
92,TOT.MI,TOTAL S.A.,34.32,-0.28,-0.82%,"1,659","5,999",88.969B,11.30
93,TOTB.DE,TOTAL S.A.,34.22,-0.53,-1.54%,"15,735","62,929",88.582B,11.27
94,FP.PA,TOTAL S.A.,34.21,-0.48,-1.38%,3.588M,8.02M,88.466B,11.27
95,TOTB.F,TOTAL S.A.,34.22,-0.53,-1.54%,"1,083","9,361",88.327B,11.27
96,TTA.L,TOTAL S.A.,34.20,-0.68,-1.96%,"272,003",3.677M,87.946B,11.26
97,TOTA.F,TOTAL S.A.,34.00,-1.00,-2.86%,354,148,87.145B,11.20
98,6269.T,"MODEC, Inc.","1,553.00",+4.00,+0.26%,"114,700","266,309",87.508B,N/A
99,SOL.JO,Sasol Limited,"13,729.00",-396.00,-2.80%,1.644M,6.114M,86.258B,N/A
0,P1IO34.SA,Pioneer Natural Resources Company,132.59,0.00,0.00%,0,"1,764",84.546B,31.84
1,003650.KS,"Michang Oil Ind .Co.,Ltd.","56,500.00",-300.00,-0.53%,298,"1,775",85.72B,N/A
2,B1KR34.SA,Baker Hughes Company,82.90,0.00,0.00%,0,"1,805",84.185B,N/A
